Abil/EditorSuffix/attack2=
Abil/EditorSuffix/attack22=
Abil/EditorSuffix/attack222=
Abil/EditorSuffix/move2=
Abil/EditorSuffix/move22=
Abil/EditorSuffix/move222=
Abil/EditorSuffix/stop2=
Abil/EditorSuffix/stop22=
Abil/EditorSuffix/stop222=
Actor/Name/BEAMActorRotator=BEAM Actor Rotator
Actor/Name/GenericAttackDamageModel2=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel22=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel222=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel3=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel4=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel5=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel52=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel522=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel5222=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel52222=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel5223=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel523=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel5232=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel524=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel53=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel532=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel5322=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel533=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel54=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel542=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel55=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel6=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel62=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel622=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel6222=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel623=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel63=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel632=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel64=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel7=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel72=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel722=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel73=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel8=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel82=Generic Attack Damage Model
Actor/Name/GenericAttackDamageModel9=Generic Attack Damage Model
Actor/Name/GenericAttackDamageSound2=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound22=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound222=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound3=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound4=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound5=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound52=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound522=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound5222=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound52222=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound5223=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound523=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound5232=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound524=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound53=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound532=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound5322=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound533=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound54=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound542=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound55=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound6=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound62=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound622=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound6222=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound623=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound63=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound632=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound64=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound7=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound72=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound722=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound73=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound8=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound82=Generic Attack Damage Sound
Actor/Name/GenericAttackDamageSound9=Generic Attack Damage Sound
Actor/Name/GenericAttackImpactModel2=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel22=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel222=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel3=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel4=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel5=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel52=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel522=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel5222=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel52222=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel5223=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel523=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel5232=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel524=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel53=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel532=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel5322=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel533=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel54=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel542=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel55=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel6=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel62=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel622=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel6222=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel623=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel63=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel632=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel64=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel7=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel72=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel722=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel73=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel8=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel82=Generic Attack Impact Model
Actor/Name/GenericAttackImpactModel9=Generic Attack Impact Model
Actor/Name/GenericAttackImpactSound2=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound22=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound222=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound3=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound4=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound5=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound52=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound522=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound5222=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound52222=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound5223=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound523=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound5232=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound524=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound53=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound532=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound5322=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound533=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound54=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound542=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound55=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound6=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound62=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound622=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound6222=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound623=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound63=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound632=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound64=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound7=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound72=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound722=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound73=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound8=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound82=Generic Attack Impact Sound
Actor/Name/GenericAttackImpactSound9=Generic Attack Impact Sound
Actor/Name/GenericAttackLaunchModel2=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel22=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel222=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel3=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel4=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel5=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel52=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel522=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel5222=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel52222=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel5223=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel523=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel5232=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel524=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel53=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel532=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel5322=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel533=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel54=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel542=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel55=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel6=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel62=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel622=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel6222=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel623=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel63=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel632=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel64=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel7=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel72=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel722=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel73=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel8=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel82=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchModel9=Generic Attack Launch Model
Actor/Name/GenericAttackLaunchSound2=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound22=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound222=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound3=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound4=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound5=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound52=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound522=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound5222=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound52222=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound5223=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound523=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound5232=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound524=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound53=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound532=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound5322=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound533=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound54=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound542=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound55=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound6=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound62=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound622=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound6222=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound623=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound63=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound632=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound64=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound7=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound72=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound722=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound73=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound8=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound82=Generic Attack Launch Sound
Actor/Name/GenericAttackLaunchSound9=Generic Attack Launch Sound
Actor/Name/GhostNukeCollateralFire2=Ghost Nuke Collateral Fire Large
Actor/Name/GhostNukeCollateralFire22=MEGA NUKE Collateral Fire
Actor/Name/GhostNukeDrop2=MEGA NUKE Drop
Actor/Name/GhostNukeExplode2=Ghost Nuke Explode Large
Actor/Name/GhostNukeExplode22=MEGA NUKE Explode
Actor/Name/GhostNukeFoliageFXSpawner2=Ghost Nuke Foliage FX Spawner Large
Actor/Name/GhostNukeFoliageFXSpawner22=MEGA NUKE Foliage FX Spawner
Actor/Name/KelmorianMiner2=Neuro-Marine Actor
Actor/Name/KelmorianMiner22=Evil-Marine Actor
Actor/Name/KelmorianMiner23=Vedal-Marine Actor
Actor/Name/NukeTreeKiller2=Nuke Tree Killer Large
Actor/Name/NukeTreeKiller22=MEGA NUKE Tree Killer
Actor/Name/SpartanCompany2=Spartan Company
Actor/Name/SpartanCompany22=Spartan Company
Actor/Name/SpartanCompany222=Spartan Company
Actor/Name/SpartanCompanyAirAttack2=Spartan Company Air Attack
Actor/Name/SpartanCompanyAirAttack22=Spartan Company Air Attack
Actor/Name/SpartanCompanyAirAttack222=Spartan Company Air Attack
Actor/Name/SpartanCompanyAirAttackMissile2=Spartan Company Air Attack Missile
Actor/Name/SpartanCompanyAirAttackMissile22=Spartan Company Air Attack Missile
Actor/Name/SpartanCompanyAirAttackMissile222=Spartan Company Air Attack Missile
Actor/Name/SpartanCompanyGroundAttack2=Spartan Company Ground Attack
Actor/Name/SpartanCompanyGroundAttack22=Spartan Company Ground Attack
Actor/Name/SpartanCompanyGroundAttack222=Spartan Company Ground Attack
Actor/Name/WallOfFire2=BEAM Actor Large
Actor/Name/WallOfFire22=BEAM Actor Small
Actor/Name/WallOfFire23=BEAM Actor Medium
Actor/Name/Wraith2=Wraith
Actor/Name/Wraith3=Wraith
Actor/Name/Wraith6=Wraith
Behavior/EditorPrefix/ScavengingSystemsMechDeath2=Vulture -
Behavior/EditorPrefix/ScavengingSystemsMechDeath22=Vulture -
Behavior/EditorPrefix/ScavengingSystemsMechDeath222=Vulture -
Behavior/Name/MultilockTargetingSystems2=Multilock Targeting Systems
Behavior/Name/MultilockTargetingSystems22=Multilock Targeting Systems
Behavior/Name/MultilockTargetingSystems222=Multilock Targeting Systems
Behavior/Name/ScavengingSystemsMechDeath2=Scavenging Systems Mech Death
Behavior/Name/ScavengingSystemsMechDeath22=Scavenging Systems Mech Death
Behavior/Name/ScavengingSystemsMechDeath222=Scavenging Systems Mech Death
Button/EditorSuffix/AresClassWeaponsSystem2=(Goliath)
Button/EditorSuffix/AresClassWeaponsSystem22=(Goliath)
Button/EditorSuffix/AresClassWeaponsSystem222=(Goliath)
Effect/EditorPrefix/MEGANUKE=Ghost -
Effect/EditorPrefix/MEGANUKEDamage=Ghost -
Effect/EditorPrefix/NukeDamage2=Ghost -
Effect/EditorPrefix/NukeDamage22=Ghost -
Effect/EditorPrefix/NukeDamage23=Ghost -
Effect/EditorPrefix/NukeDamage232=Ghost -
Effect/EditorPrefix/NukeDetonate2=Ghost -
Effect/EditorPrefix/WraithGLaunchMissile2=Wraith -
Effect/EditorPrefix/WraithGU2=Wraith -
Effect/EditorSuffix/MEGANUKE=(Detonate) (Persistent)
Effect/EditorSuffix/MEGANUKEDamage=(Damage)
Effect/EditorSuffix/NukeDamage2=(Damage)
Effect/EditorSuffix/NukeDamage22=(Damage)
Effect/EditorSuffix/NukeDamage23=(Damage)
Effect/EditorSuffix/NukeDamage232=(Damage)
Effect/EditorSuffix/NukeDetonate2=(Detonate) (Persistent)
Effect/EditorSuffix/WraithGU2=(Damage)
Model/Name/GhostNukeCollateralFire2=Ghost Nuke Collateral Fire Large
Model/Name/GhostNukeCollateralFire22=MEGA NUKE Collateral Fire
Model/Name/GhostNukeExplode2=Ghost Nuke Explode Large
Model/Name/GhostNukeExplode22=MEGA NUKE Explode
Model/Name/GhostNukeIndicator2=Ghost Nuke Indicator Large
Model/Name/GhostNukeIndicator3=MEGA NUKE Indicator
Model/Name/GoliathAWeapon2=Goliath A Weapon
Model/Name/GoliathAWeapon22=Goliath A Weapon
Model/Name/GoliathAWeapon222=Goliath A Weapon
Model/Name/GoliathMercenaryPortrait2=Portrait - Goliath Mercenary
Model/Name/GoliathMercenaryPortrait22=Portrait - Goliath Mercenary
Model/Name/GoliathMercenaryPortrait222=Portrait - Goliath Mercenary
Model/Name/Invisible2=Invisible
Model/Name/Invisible22=Invisible
Model/Name/Invisible222=Invisible
Model/Name/MedicHealModel2=Medic Heal Larger Effect
